user_id,studying_style_dim_1,studying_style_dim_2,studying_style_dim_3,studying_style_dim_4,user_location,module_1,module_2,module_3,module_4,module_5,module_6
0,7,1,-3,-11,TIONG BAHRU,1,6,6,13,19,27
1,1,5,5,-3,RESIDENTIAL COLLEGE 4,1,3,7,13,17,23
2,9,-3,11,-3,OUTRAM PARK,3,7,7,14,19,25
3,1,-5,1,9,GUL CIRCLE,3,5,7,10,18,24
4,-3,-3,7,-3,LITTLE INDIA,1,7,7,11,19,27
5,-9,-9,-11,-7,YISHUN,2,6,9,11,20,26
6,-11,-1,9,11,MARINA SOUTH PIER,3,6,7,14,16,22
7,-1,-1,7,1,ADMIRALTY,3,7,6,11,18,27
8,-7,-7,-1,-1,TAI SENG,1,6,8,12,19,24
9,3,1,1,-9,LAKESIDE,1,7,7,13,17,21
10,-5,-5,-7,-1,TIONG BAHRU,2,5,9,12,19,23
11,-11,5,11,5,GEYLANG BAHRU,3,6,8,12,17,22
12,1,5,-1,1,FARRER ROAD,1,7,6,14,17,23
13,1,1,-9,1,RAFFLES PLACE,1,5,8,11,18,23
14,5,1,-1,-11,CHINESE GARDEN,3,7,6,11,17,26
15,-11,-1,9,-7,PASIR PANJANG,3,5,9,11,15,22
16,-1,9,-9,9,HUME,1,5,7,11,20,25
17,-11,11,3,-3,GEYLANG BAHRU,1,6,9,14,17,26
18,-5,3,7,-9,BRADDELL,1,5,9,13,20,26
19,5,-11,3,7,BEAUTY WORLD,3,4,6,11,20,25
